day,hr_avg,hr_min,hr_max,rhr,inactive_hr,weight,intensity_time,moderate_activity_time,vigorous_activity_time,steps,steps_goal_percent,floors,floors_goal_percent,sleep_avg,rem_sleep_avg,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_consumed_avg,calories_goal,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,sweat_loss_avg,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2023-02-17,82.1,42.0,169.0,46.0,58.5,250.0,01:28:00.000000,00:32:00.000000,00:28:00.000000,16879,174.0,0.0,0.0,06:38:00.000000,01:09:00.000000,30.0,4721.0,2662.0,2059.0,260.0,2820.0,3,682.0,2.1,100.0,0.0,12.0,,,14.0,25.0,9.0,97.0,5.0
2023-02-16,67.0,37.0,142.0,50.0,61.4,,00:30:00.000000,00:14:00.000000,00:08:00.000000,3257,28.0,0.0,0.0,09:05:00.000000,00:54:00.000000,30.0,3007.0,2662.0,345.0,1908.0,2820.0,2,238.0,0.0,100.0,0.0,5.0,,,14.0,22.0,11.0,78.0,18.0
2023-02-15,66.6,43.0,169.0,45.0,62.8,253.2,01:06:00.000000,00:06:00.000000,00:30:00.000000,7208,61.0,0.0,0.0,08:19:00.000000,01:54:00.000000,26.0,3193.0,2662.0,531.0,0.0,2820.0,1,486.0,2.8,100.0,0.0,12.0,,,14.0,23.0,9.0,96.0,11.0
2023-02-14,73.7,46.0,168.0,48.0,62.2,253.6,00:47:00.000000,00:05:00.000000,00:21:00.000000,13075,113.0,0.0,0.0,07:47:00.000000,01:37:00.000000,31.0,3522.0,2663.0,859.0,0.0,2820.0,1,302.0,1.8,100.0,0.0,7.0,,,13.0,23.0,10.0,72.0,11.0
2023-02-13,68.4,44.0,105.0,46.0,55.8,250.6,00:00:00.000000,00:00:00.000000,00:00:00.000000,8629,70.0,0.0,0.0,09:22:00.000000,01:42:00.000000,26.0,3082.0,2647.0,435.0,0.0,2820.0,,,,100.0,,,,,13.0,23.0,9.0,97.0,12.0
2023-02-12,67.8,41.0,173.0,49.0,60.6,250.0,00:30:00.000000,00:02:00.000000,00:14:00.000000,9507,75.0,0.0,0.0,06:30:00.000000,00:27:00.000000,23.0,3107.0,2643.0,464.0,1645.0,2820.0,1,230.0,1.3,100.0,0.0,4.0,,,14.0,23.0,9.0,74.0,5.0
2023-02-11,77.4,43.0,171.0,45.0,57.3,,01:30:00.000000,00:04:00.000000,00:43:00.000000,17388,152.0,0.0,0.0,08:16:00.000000,01:42:00.000000,24.0,4123.0,2646.0,1477.0,0.0,2820.0,1,645.0,3.7,100.0,0.0,9.0,,,14.0,22.0,10.0,78.0,5.0
2023-02-10,94.3,61.0,169.0,52.0,87.0,250.4,00:40:00.000000,00:12:00.000000,00:14:00.000000,14412,130.0,0.0,0.0,00:00:00.000000,00:00:00.000000,60.0,4118.0,2646.0,1472.0,,2820.0,2,319.0,1.8,100.0,0.0,6.0,,,13.0,15.0,10.0,74.0,5.0
2023-02-09,68.6,46.0,164.0,47.0,65.6,250.6,01:05:00.000000,00:05:00.000000,00:30:00.000000,6528,53.0,0.0,0.0,08:04:00.000000,01:34:00.000000,27.0,3148.0,2647.0,501.0,0.0,2820.0,1,395.0,2.3,100.0,0.0,11.0,,,14.0,24.0,10.0,91.0,16.0
2023-02-08,71.0,46.0,172.0,48.0,64.6,,01:13:00.000000,00:19:00.000000,00:27:00.000000,7199,56.0,0.0,0.0,04:41:00.000000,00:10:00.000000,32.0,3519.0,2651.0,868.0,,2820.0,2,556.0,2.3,100.0,0.0,12.0,,,15.0,23.0,10.0,76.0,12.0
